"","No","ORF","Gene","Ch","Mean","Mean.1","X3153A","SD","p.value","p.paired","X3153A.1","SD2","start","end","strand","flag47b","p.complete.compensation","p.zero.compensation","compflag"
"4781",4816,"orf19.5958","CDR2","3",224.7,238.3,1.1,0.768,0.695573069,0.528022778,1,0.114,1047997,1052496,"W",NA,NA,NA,NA
"4782",4817,"orf19.5959","NOP14","3",591.7,557.6,0.9,0.344,0.789131676,0.616805616,1,0.067,1052846,1055374,"W",NA,NA,NA,NA
"4783",4818,"orf19.5960","","3",33981.5,31662,0.9,0.374,0.995931329,0.990213045,1,0.054,1057274,1056762,"C",NA,NA,NA,NA
"4784",4819,"orf19.5961","","3",2893.8,3984.7,1.4,0.7,0.281411435,0.026785386,1.1,0.064,1060431,1059682,"C",NA,NA,NA,NA
"4785",4820,"orf19.5962","SNF3","3",389.6,485.8,1.2,0.372,0.510621015,0.206820727,1.1,0.054,1063077,1060831,"C",NA,NA,NA,NA
"4786",4821,"orf19.5963","","3",319.7,343.4,1.1,0.451,0.846704178,0.780405272,1,0.059,1064250,1065299,"W",NA,NA,NA,NA
"4787",4822,"orf19.5964","ARF2","3",10023.8,9960.1,1,0.44,0.838692764,0.824204955,1,0.06,1066237,1066782,"W",NA,NA,NA,NA
"4788",4823,"orf19.5964.2","RPL35","3",2557.9,3587.8,1.4,0.432,0.470647037,0.064080751,1,0.074,1067948,1068750,"W",NA,NA,NA,NA
"4789",4824,"orf19.5965","","3",1220,1003.4,0.8,0.359,0.614526418,0.442107761,1,0.043,1072236,1069009,"C",NA,NA,NA,NA
"4790",4825,"orf19.5966","","3",37.9,32.2,1,0.976,0.528227578,0.582975406,1,0.059,1072432,1072773,"W",NA,NA,NA,NA
"4791",4826,"orf19.5967","FGR44","3",974.6,836.7,0.9,0.336,0.669183585,0.259768515,1.1,0.061,1073192,1074424,"W",NA,NA,NA,NA
"4792",4827,"orf19.5968","RDI1","3",2271.4,3149.6,1.4,0.257,0.376816063,0.01133144,1,0.049,1075122,1075733,"W",NA,NA,NA,NA
"4793",4828,"orf19.5970","","3",683.1,618.3,0.9,0.395,0.404792875,0.332096373,1,0.054,1078753,1076165,"C",NA,NA,NA,NA
"4794",4829,"orf19.5971","","3",319.8,278.5,0.9,0.405,0.550522167,0.316110625,1,0.05,1078992,1080836,"W",NA,NA,NA,NA
"4795",4830,"orf19.5973","","3",590.9,743.9,1.3,0.322,0.425209919,0.096233718,1,0.062,1081111,1082022,"W",NA,NA,NA,NA
"4796",4831,"orf19.5974","ATG9","3",1271.2,1064.5,0.8,0.234,0.515677018,0.170746227,1,0.05,1085083,1082225,"C",NA,NA,NA,NA
"4797",4832,"orf19.5975","","3",193.2,280.4,1.4,38.487,0.402885584,0.261596538,1.1,0.115,1087657,1088517,"W",NA,NA,NA,NA
"4798",4833,"orf19.5976","","3",728.1,677.8,0.9,0.339,0.980295054,0.869252496,1,0.065,1090005,1091345,"W",NA,NA,NA,NA
"4799",4834,"orf19.5977","CEM1","3",316.8,255.5,0.8,4.826,0.824472577,0.59726752,1,0.063,1091394,1092719,"W",NA,NA,NA,NA
"4800",4835,"orf19.5978","","3",3170.3,3741,1.2,0.609,0.740944291,0.566194723,1,0.056,1093298,1094512,"W",NA,NA,NA,NA
"4801",4836,"orf19.5980","","3",340.1,316.8,0.9,15.073,0.57521658,0.341475461,1,0.052,1096285,1094555,"C",NA,NA,NA,NA
"4802",4837,"orf19.5982","RPL18","3",26780.8,27669.3,1,0.207,0.826374908,0.673566942,1,0.03,1097684,1096665,"C",NA,NA,NA,NA
"4803",4838,"orf19.5984","","3",665,891.5,1.3,0.31,0.593220588,0.027732764,1.1,0.099,1098034,1099035,"W",NA,NA,NA,NA
"4804",4839,"orf19.5985","","3",1803.9,2082,1.2,0.103,0.823523069,0.045849914,1,0.054,1099725,1099114,"C",NA,NA,NA,NA
"4805",4840,"orf19.5986","THI4","3",478.1,441.4,0.9,0.388,0.779389591,0.34821565,1,0.043,1101010,1099946,"C",NA,NA,NA,NA
"4806",4841,"orf19.5987","","3",828.2,1074.1,1.3,0.29,0.309716666,0.041995112,1,0.105,1102834,1101416,"C",NA,NA,NA,NA
"4807",4842,"orf19.5989","","3",1757.1,2115,1.2,0.393,0.173081322,0.181981425,1.1,0.127,1103545,1104972,"W",NA,NA,NA,NA
"4808",4843,"orf19.5991","","3",1443.4,1316.4,0.9,0.271,0.805024966,0.65298077,1,0.064,1107793,1105067,"C",NA,NA,NA,NA
"4809",4844,"orf19.5992","WOR2","3",401.4,346,0.9,0.271,0.876079642,0.146781336,1.1,0.046,1118835,1120175,"W",NA,NA,NA,NA
"4810",4845,"orf19.5994","RHB1","3",1356.4,1240.8,0.9,0.535,0.912949909,0.888778094,1,0.06,1126578,1127132,"W",NA,NA,NA,NA
"4811",4846,"orf19.5995","MCA1","3",2060.3,2616.4,1.3,0.372,0.212497914,0.107640242,1,0.072,1128919,1127573,"C",NA,NA,NA,NA
"4812",4847,"orf19.5996.1","RPS19A","3",19880.2,15937.3,0.8,0.147,0.285663704,0.026263481,1,0.063,1130362,1131166,"W",NA,NA,NA,NA
"4813",4848,"orf19.5999","DYN1","3",719.6,612.4,0.9,0.406,0.871450269,0.67120993,1,0.061,1143881,1131396,"C",NA,NA,NA,NA
"4814",4849,"orf19.6000","CDR1","3",5135.1,6190.6,1.2,0.687,0.714170308,0.322999851,1,0.049,1146155,1150660,"W",NA,NA,NA,NA
"4815",4850,"orf19.6001","SAP3","3",651.5,710.2,1.1,0.278,0.985686697,0.806067529,1,0.038,1151761,1152957,"W",NA,NA,NA,NA
"4816",4851,"orf19.6002","RPL8B","3",18692.5,22585.2,1.2,0.767,0.170662162,0.299619966,1,0.047,1154044,1153256,"C",NA,NA,NA,NA
"4817",4852,"orf19.6003","","3",676.7,515.4,0.8,0.488,0.842127926,0.482878247,1,0.051,1156318,1154531,"C",NA,NA,NA,NA
"4818",4853,"orf19.6005","HGT5","3",247.4,229.7,0.9,0.546,0.68386824,0.378051781,1,0.043,1160820,1158586,"C",NA,NA,NA,NA
"4819",4854,"orf19.6007","","3",3990.8,5294,1.3,0.202,0.271526994,0.010107438,1,0.058,1162682,1161621,"C",NA,NA,NA,NA
"4820",4855,"orf19.6008","","3",93.9,83.2,1,0.193,0.967827141,0.526267729,1,0.042,1166752,1163927,"C",NA,NA,NA,NA
"4821",4856,"orf19.6966","","3",469.4,494.9,1.1,0.652,0.843749833,0.593699299,1,0.033,1170279,1168411,"C",NA,NA,NA,NA
"4822",4857,"orf19.6967","USO6","3",759.7,954.6,1.3,0.677,0.669833898,0.4575765,1,0.079,1171433,1174825,"W",NA,NA,NA,NA
"4823",4858,"orf19.6968","","3",1576.5,1420.3,0.9,0.393,0.756723693,0.561262967,1,0.089,1178348,1181809,"W",NA,NA,NA,NA
"4824",4859,"orf19.6970","","3",71.1,80.3,1,0.57,0.895926972,0.289123282,1,0.04,1182953,1181982,"C",NA,NA,NA,NA
"4825",4860,"orf19.6971","DIE2","3",61.6,54.4,1,5.992,0.99271205,0.988215857,1,0.046,1183349,1184611,"W",NA,NA,NA,NA
"4826",4861,"orf19.6972","SMI1B","3",194.8,182.5,0.9,0.159,0.963257196,0.415881296,1,0.058,1186367,1184715,"C",NA,NA,NA,NA
"4827",4862,"orf19.6973","","3",888.3,774.3,0.9,0.356,0.544817761,0.488306681,1,0.046,1190748,1186972,"C",NA,NA,NA,NA
"4828",4863,"orf19.6975","YST1","3",41628.8,27265.6,0.7,0.341,0.261526691,0.169185551,1,0.036,1194313,1193137,"C",NA,NA,NA,NA
"4829",4864,"orf19.6976","","3",3416.9,3743.2,1.1,0.301,0.985746795,0.885979724,1,0.041,1195446,1197287,"W",NA,NA,NA,NA
"4830",4865,"orf19.6977","GPI1","3",9.4,0,1,0.401,0.363217468,0.363217468,1,0.037,1199306,1197360,"C",NA,NA,NA,NA
"4831",4866,"orf19.6978","","3",95.8,47.4,1,0.333,0.849158508,0.302438612,1,0.08,1199595,1199266,"C",NA,NA,NA,NA
"4832",4867,"orf19.6979","","3",186.6,201.7,1.1,0.384,0.906573626,0.81516014,1,0.044,1201853,1204195,"W",NA,NA,NA,NA
"4833",4868,"orf19.6980","","3",624.4,582.8,0.9,0.436,0.755449485,0.705451644,1.1,0.071,1205811,1207568,"W",NA,NA,NA,NA
"4834",4869,"orf19.6981","","3",1971.9,3040.9,1.5,0.996,0.89203108,0.692939323,1,0.047,1207893,1209680,"W",NA,NA,NA,NA
"4835",4870,"orf19.6982","","3",97.2,91.4,1,9.621,0.61552369,0.323286433,1,0.049,1211105,1209816,"C",NA,NA,NA,NA
"4836",4871,"orf19.6983","","3",302.4,363.5,1.2,0.148,0.969468132,0.181725988,1,0.053,1217362,1216190,"C",NA,NA,NA,NA
"4837",4872,"orf19.6984","","3",399.6,321.4,0.8,0.418,0.661436185,0.116009165,1,0.064,1226770,1229058,"W",NA,NA,NA,NA
"4838",4873,"orf19.6985","TEA1","3",578.9,410.9,0.7,0.289,0.393432853,0.03987221,1,0.044,1229454,1232156,"W",NA,NA,NA,NA
"4839",4874,"orf19.6986","","3",41.2,67.1,1,8.029,0.592494229,0.180475423,1,0.068,1234027,1236234,"W",NA,NA,NA,NA
"4840",4875,"orf19.6987","DNM1","3",931.4,892.3,1,0.39,0.65561604,0.205149683,1,0.048,1239021,1236421,"C",NA,NA,NA,NA
"4841",4876,"orf19.6988","","3",566.3,535.6,0.9,0.37,0.671446314,0.410653198,1,0.03,1240151,1241563,"W",NA,NA,NA,NA
"4842",4877,"orf19.6989","","3",101.6,106.5,1,6.767,0.655873936,0.242617231,1,0.081,1241879,1241556,"C",NA,NA,NA,NA
"4843",4878,"orf19.6990","","3",919.7,941.7,1,0.367,0.830759296,0.828886454,1,0.043,1242796,1242005,"C",NA,NA,NA,NA
"4844",4879,"orf19.6991","PRE3","3",4968.4,7052.1,1.4,0.434,0.307495433,0.052957669,1.1,0.106,1243216,1243860,"W",NA,NA,NA,NA
"4845",4880,"orf19.6992","","3",3485.2,2881.7,0.8,0.188,0.244861411,0.066212752,1,0.05,1245135,1246649,"W",NA,NA,NA,NA
"4846",4881,"orf19.6993","GAP2","3",1015,1775.4,1.7,1.027,0.156478721,0.05502238,1,0.068,1248656,1246890,"C",NA,NA,NA,NA
"4847",4882,"orf19.6994","BAT22","3",4894.9,8368.8,1.7,0.877,0.279646874,0.125026136,1,0.059,1251798,1250689,"C",NA,NA,NA,NA
"4848",4883,"orf19.6995","","3",89.2,87.9,1,0.258,0.999503591,0.99261112,1.1,0.185,1253107,1253952,"W",NA,NA,NA,NA
"4849",4884,"orf19.6996","","3",54.1,80.7,1,10.471,0.559701023,0.239746397,1,0.069,1254732,1256708,"W",NA,NA,NA,NA
"4850",4885,"orf19.6997","","3",1121.9,1045.9,0.9,0.371,0.928881652,0.655837767,1,0.06,1257418,1258260,"W",NA,NA,NA,NA
"4851",4886,"orf19.6998","GTT1","3",343.3,327.7,1,0.334,0.783526672,0.40249665,1.1,0.053,1259057,1259860,"W",NA,NA,NA,NA
"4852",4887,"orf19.6999","","3",176.3,665.5,3.8,2.258,0.000180817,0.0038367,1,0.085,1260331,1261608,"W",NA,NA,NA,NA
"4853",4888,"orf19.7001","YCK2","3",562.5,481.2,0.9,0.595,0.797458005,0.799091221,1.1,0.074,1263830,1265317,"W",NA,NA,NA,NA
"4854",4889,"orf19.7002","","3",45.4,58.6,1,6.974,0.691396369,0.294084934,1,0.098,1267348,1266161,"C",NA,NA,NA,NA
"4855",4890,"orf19.7347","","3",742.2,762.5,1,0.516,0.899576605,0.758588838,1,0.036,1269898,1270629,"W",NA,NA,NA,NA
"4856",4891,"orf19.7348","","3",29.2,44.4,1,1.337,0.70196537,0.635120021,1.1,0.054,1269899,1269579,"C",NA,NA,NA,NA
"4857",4892,"orf19.7349","CHS4","3",488.3,453.8,0.9,0.373,0.866002732,0.536491998,1,0.072,1275143,1277398,"W",NA,NA,NA,NA
"4858",4893,"orf19.7350","","3",6611.7,10559.1,1.6,0.657,0.084447817,0.048185057,1,0.047,1279191,1279766,"W",NA,NA,NA,NA
"4859",4894,"orf19.7353","","3",473.6,479.6,1,0.378,0.952350546,0.60721096,1,0.042,1282919,1280001,"C",NA,NA,NA,NA
"4860",4895,"orf19.7354","","3",344.7,260.5,0.8,0.383,0.538619856,0.187394381,1,0.075,1284967,1283684,"C",NA,NA,NA,NA
"4861",4896,"orf19.7355","SSN8","3",112.5,113,1,0.335,0.983464647,0.822546815,1,0.069,1287828,1286524,"C",NA,NA,NA,NA
"4862",4897,"orf19.7356","","3",22.7,20.9,1,0.111,0.971702191,0.428733636,1.1,0.202,1288554,1288222,"C",NA,NA,NA,NA
"4863",4898,"orf19.7357","","3",391.6,293.3,0.7,0.243,0.518329015,0.271419744,1,0.086,1289709,1290755,"W",NA,NA,NA,NA
"4864",4899,"orf19.7358","","3",35.1,53.6,1,1.301,0.838344325,0.781335052,1,0.035,1292374,1290851,"C",NA,NA,NA,NA
"4865",4900,"orf19.7359","CRZ1","3",228.4,197.6,0.9,0.418,0.666604721,0.288471555,1.1,0.096,1295015,1292820,"C",NA,NA,NA,NA
"4866",4901,"orf19.7360","","3",347.1,380.9,1.1,0.437,0.851750942,0.851481963,1,0.038,1298650,1298174,"C",NA,NA,NA,NA
"4867",4902,"orf19.7361","","3",306.8,294.8,1,0.459,0.553165623,0.41883927,1,0.066,1298895,1300313,"W",NA,NA,NA,NA
"4868",4903,"orf19.7362","SKN1","3",202,255.2,1.3,0.571,0.846117246,0.245870274,1,0.066,1302588,1300375,"C",NA,NA,NA,NA
"4869",4904,"orf19.7363","KRE6","3",880.8,743.4,0.8,0.314,0.438079646,0.209513666,1.1,0.121,1306203,1308425,"W",NA,NA,NA,NA
"4870",4905,"orf19.7364","","3",985.1,1909.6,1.9,1.111,0.332550538,0.15784825,1,0.044,1309951,1311561,"W",NA,NA,NA,NA
"4871",4906,"orf19.7365","","3",109.3,117.5,1.1,0.531,0.623565417,0.346757321,1,0.059,1312261,1313979,"W",NA,NA,NA,NA
"4872",4907,"orf19.7366","","3",453.2,420.6,0.9,0.351,0.795288188,0.60083227,1,0.071,1315066,1314005,"C",NA,NA,NA,NA
"4873",4908,"orf19.7367","UBP1","3",497.7,453.1,0.9,0.311,0.597137467,0.434823579,1,0.046,1317814,1315400,"C",NA,NA,NA,NA
"4874",4909,"orf19.7368","","3",862.1,828.3,1,0.215,0.906190116,0.791257204,1.1,0.132,1320483,1318951,"C",NA,NA,NA,NA
"4875",4910,"orf19.7369","","3",199.9,297.6,1.5,0.526,0.01193258,0.028651559,1,0.07,1321967,1323226,"W",NA,NA,NA,NA
"4876",4911,"orf19.7370","","3",757.8,461.6,0.6,0.234,0.343653305,0.027219467,1,0.081,1323802,1324797,"W",NA,NA,NA,NA
"4877",4912,"orf19.7371","ZCF35","3",74.1,75.3,1,0.586,0.690841328,0.509312019,1,0.064,1325563,1328871,"W",NA,NA,NA,NA
"4878",4913,"orf19.7372","MRR1","3",1470.7,1106.7,0.8,0.2,0.350181056,0.047325396,1,0.066,1329373,1332699,"W",NA,NA,NA,NA
"4879",4914,"orf19.7374","CTA4","3",2972.9,2041.4,0.7,0.254,0.298142617,0.046102387,1.1,0.112,1333935,1336985,"W",NA,NA,NA,NA
"4880",4915,"orf19.7375","","3",112.8,128.4,1.1,3.723,0.978788966,0.953363953,1,0.051,1337713,1337099,"C",NA,NA,NA,NA
"4881",4916,"orf19.7376","","3",316.1,214.6,0.7,0.201,0.791368591,0.020806107,1,0.056,1337896,1340184,"W",NA,NA,NA,NA
"4882",4917,"orf19.7377","ASE1","3",435.5,242.7,0.6,0.418,0.387625642,0.108494675,1,0.081,1340552,1343272,"W",NA,NA,NA,NA
"4883",4918,"orf19.7378","","3",1096,898,0.8,0.474,0.660305082,0.621252731,1.1,0.103,1345058,1343442,"C",NA,NA,NA,NA
"4884",4919,"orf19.7379","FAA2","3",1139.8,639.3,0.6,0.145,0.002357688,0.002035348,1,0.061,1347977,1345713,"C",NA,NA,NA,NA
"4885",4920,"orf19.7380","","3",115.3,119.4,1,0.488,0.551016245,0.448292734,1.1,0.111,1352464,1349459,"C",NA,NA,NA,NA
"4886",4921,"orf19.7381","ZCF37","3",131,76.8,0.6,0.807,0.491906042,0.259496753,1.1,0.079,1362622,1364496,"W",NA,NA,NA,NA
"4887",4922,"orf19.7382","CAM1","3",13724.3,17665.9,1.3,0.381,0.666200704,0.011668476,0.9,0.044,1366734,1368201,"W",NA,NA,NA,NA
"4888",4923,"orf19.7383","MNN9","3",4312.9,3479.1,0.8,0.327,0.337767115,0.213944567,1,0.059,1368783,1369889,"W",NA,NA,NA,NA
"4889",4924,"orf19.7384","NOG1","3",3039.4,3408.1,1.1,0.283,0.785592236,0.175914727,1,0.065,1370296,1372218,"W",NA,NA,NA,NA
"4890",4925,"orf19.7385","","3",115.3,160.4,1.4,10.796,0.396771897,0.100378858,1,0.055,1373823,1375328,"W",NA,NA,NA,NA
"4891",4926,"orf19.7386","","3",370.9,448.4,1.2,0.676,0.659257541,0.513800975,1,0.043,1376389,1375514,"C",NA,NA,NA,NA
"4892",4927,"orf19.7387","ELP3","3",2351.1,2041.8,0.9,0.303,0.962842446,0.881003738,1,0.051,1376658,1378301,"W",NA,NA,NA,NA
"4893",4928,"orf19.7388","PBS2","3",182.8,230.6,1.3,0.678,0.576582381,0.384404571,1,0.047,1380061,1378424,"C",NA,NA,NA,NA
"4894",4929,"orf19.7389","REV3","3",599.4,552.3,0.9,0.258,0.651652176,0.545943985,1,0.073,1380648,1385540,"W",NA,NA,NA,NA
"4895",4930,"orf19.7391","OCH1","3",1631.1,1270.1,0.8,0.244,0.494422998,0.09031982,1,0.058,1386774,1385617,"C",NA,NA,NA,NA
"4896",4931,"orf19.7392","","3",309.6,302,1,0.367,0.615973019,0.36839118,1.1,0.103,1390002,1387984,"C",NA,NA,NA,NA
"4897",4932,"orf19.7393","","3",1484.3,1301,0.9,0.323,0.788650793,0.567629995,1,0.041,1392925,1391147,"C",NA,NA,NA,NA
"4898",4933,"orf19.7394","GDA1","3",4260.7,5791.2,1.4,0.68,0.956085373,0.905193973,1,0.067,1395623,1393824,"C",NA,NA,NA,NA
"4899",4934,"orf19.7395","","3",0,18.6,1,31.707,0.422649731,0.422649731,1,0.027,1395707,1396024,"W",NA,NA,NA,NA
"4900",4935,"orf19.7396","","3",32,54.3,1,30.875,0.278865346,0.108692089,1,0.055,1397112,1398317,"W",NA,NA,NA,NA
"4901",4936,"orf19.7397","","3",504.8,445,0.9,0.478,0.429768931,0.328623324,1,0.07,1399184,1402453,"W",NA,NA,NA,NA
"4902",4937,"orf19.7417","TSA1","3",19388.4,28306.3,1.5,0.491,0.180498467,0.030168764,1,0.069,1406634,1406044,"C",NA,NA,NA,NA
"4903",4938,"orf19.7414","ALS6","3",41,44.9,1,0.787,0.961527532,0.757247546,1,0.081,1411974,1407874,"C",NA,NA,NA,NA
"4904",4939,"orf19.7413","MMS21","3",357.6,309.4,0.9,0.382,0.78494,0.377868129,1,0.06,1416937,1416119,"C",NA,NA,NA,NA
"4905",4940,"orf19.7412","MUB1","3",557.7,418.6,0.8,0.231,0.588722869,0.138946962,1,0.066,1419479,1417278,"C",NA,NA,NA,NA
"4906",4941,"orf19.7411","OAC1","3",162.7,165.8,1,0.235,0.983834991,0.786045529,1,0.05,1420990,1419938,"C",NA,NA,NA,NA
"4907",4942,"orf19.7410","","3",678.9,664.6,1,0.149,0.930705032,0.737961558,1,0.092,1421548,1424652,"W",NA,NA,NA,NA
"4908",4943,"orf19.7409.1","","3",2807.3,2552.9,0.9,0.458,0.714832483,0.504164766,1,0.097,1424953,1424741,"C",NA,NA,NA,NA
"4909",4944,"orf19.7409","ERV25","3",267.5,418.6,1.6,0.473,0.233506529,0.029478852,1,0.025,1425327,1425974,"W",NA,NA,NA,NA
"4910",4945,"orf19.7406","","3",92.2,83.8,1,0.507,0.758191621,0.413973711,1,0.072,1428031,1425971,"C",NA,NA,NA,NA
"4911",4946,"orf19.7405","","3",135.2,277.6,2.1,1.897,0.157747073,0.314164896,1,0.107,1429275,1428571,"C",NA,NA,NA,NA
"4912",4947,"orf19.7404","","3",976.7,1459.8,1.5,0.392,0.326958722,0.029368533,1,0.04,1429707,1430705,"W",NA,NA,NA,NA
"4913",4948,"orf19.7403","","3",284.1,311,1.1,1.278,0.605380485,0.363696849,1.1,0.117,1431434,1433689,"W",NA,NA,NA,NA
"4914",4949,"orf19.7402","DOT1","3",1919.2,1957.3,1,0.577,0.627626132,0.570580988,1,0.066,1434294,1438325,"W",NA,NA,NA,NA
"4915",4950,"orf19.7401","ISW2","3",442,353,0.8,0.301,0.497113354,0.207023881,1,0.069,1441681,1438511,"C",NA,NA,NA,NA
"4916",4951,"orf19.7400","ALS7","3",155.6,159.5,1,0.363,0.883398058,0.367251459,1,0.083,1446613,1451319,"W",NA,NA,NA,NA
"4917",4952,"orf19.7398.1","TSA1B","3",3177.6,4159.5,1.3,0.453,0.184473625,0.281331215,1,0.04,1452473,1453063,"W",NA,NA,NA,NA
"4918",4953,"orf19.7419","HNT2","3",413.4,461.6,1.1,0.265,0.531358029,0.264053327,1.2,0.26,1453315,1453857,"W",NA,NA,NA,NA
"4919",4954,"orf19.7420","","3",638.9,947.3,1.5,0.671,0.040366063,0.047433671,1.1,0.159,1453976,1454767,"W",NA,NA,NA,NA
"4920",4955,"orf19.7421","CYP5","3",6630,8975.4,1.4,0.492,0.582699628,0.174339166,1.1,0.147,1455479,1454868,"C",NA,NA,NA,NA
"4921",4956,"orf19.7422","","3",391.9,674.8,1.7,0.265,0.080567986,0.000356877,1.1,0.045,1456911,1455739,"C",NA,NA,NA,NA
"4922",4957,"orf19.7424","NSA2","3",250.6,362.7,1.4,0.814,0.329902141,0.240654177,1.1,0.037,1457024,1457809,"W",NA,NA,NA,NA
"4923",4958,"orf19.7398","","3",20793.3,27543.2,1.3,0.669,0.176871765,0.068487361,1.1,0.087,1457312,1457809,"W",NA,NA,NA,NA
"4924",4959,"orf19.7425","","3",309.2,360.1,1.2,0.545,0.981805519,0.90570108,1,0.084,1459101,1458034,"C",NA,NA,NA,NA
"4925",4960,"orf19.7426","","3",214.5,289.2,1.3,0.798,0.388211726,0.050430885,1,0.042,1460546,1459524,"C",NA,NA,NA,NA
"4926",4961,"orf19.7427","","3",1056.8,1145.2,1.1,0.371,0.867256152,0.609458846,1.1,0.129,1461976,1460762,"C",NA,NA,NA,NA
"4927",4962,"orf19.7428","APN1","3",2915.1,3056.9,1,0.338,0.980024373,0.96685886,1,0.065,1462396,1463580,"W",NA,NA,NA,NA
"4928",4963,"orf19.7433","","3",530.4,469.2,0.9,1.02,0.972612986,0.968019501,1.1,0.142,1463644,1466934,"W",NA,NA,NA,NA
"4929",4964,"orf19.7434","GLG2","3",261.2,376.8,1.4,0.332,0.093576616,0.009389984,1,0.037,1468019,1469104,"W",NA,NA,NA,NA
"4930",4965,"orf19.7436","AAF1","3",762.3,1197.4,1.6,0.747,0.27286178,0.14097369,1.1,0.113,1477308,1479146,"W",NA,NA,NA,NA
"4931",4966,"orf19.7436.1","ECM15","3",1300.1,1193.5,0.9,0.261,0.72085425,0.379491375,1,0.093,1479789,1479317,"C",NA,NA,NA,NA
"4932",4967,"orf19.7437","","3",2931.4,2313.3,0.8,0.191,0.453172874,0.087847476,1.1,0.195,1481998,1482921,"W",NA,NA,NA,NA
"4933",4968,"orf19.7438","UBA1","3",1376,1418.5,1,0.359,0.951698142,0.939773628,1,0.047,1483162,1486227,"W",NA,NA,NA,NA
"4934",4969,"orf19.7440","HST6","3",102.5,107.1,1,0.603,0.588539325,0.367870934,1,0.055,1490323,1486352,"C",NA,NA,NA,NA
"4935",4970,"orf19.7441","","3",165.3,143.8,0.9,0.98,0.973265421,0.950802699,1,0.047,1491920,1490994,"C",NA,NA,NA,NA
"4936",4971,"orf19.7442","","3",160.9,235.8,1.5,1.185,0.318803172,0.092391625,1,0.084,1492168,1493064,"W",NA,NA,NA,NA
"4937",4972,"orf19.7443","","3",179.8,217,1.2,25.386,0.684213058,0.324852927,1,0.074,1493870,1493103,"C",NA,NA,NA,NA
"4938",4973,"orf19.7444","","3",316.3,383,1.2,1.589,0.757103909,0.575290906,1,0.039,1494904,1493879,"C",NA,NA,NA,NA
"4939",4974,"orf19.7445","","3",3267.7,3688,1.1,0.198,0.75974676,0.197027875,1,0.047,1496411,1497898,"W",NA,NA,NA,NA
"4940",4975,"orf19.7446","OPI3","3",935.1,1175.2,1.3,0.358,0.55106325,0.194476448,0.9,0.081,1499183,1498506,"C",NA,NA,NA,NA
"4941",4976,"orf19.7447","JEN1","3",9915.3,4895.5,0.5,0.157,0.213738262,0.004973423,1,0.047,1502028,1503653,"W",NA,NA,NA,NA
"4942",4977,"orf19.7448","LYS9","3",8090,8738.8,1.1,0.272,0.956860448,0.799070637,1,0.054,1504116,1505450,"W",NA,NA,NA,NA
"4943",4978,"orf19.7449","","3",55.5,48,1,3.009,0.978841128,0.959532892,1,0.059,1507230,1505509,"C",NA,NA,NA,NA
"4944",4979,"orf19.7450","","3",724.6,686.2,0.9,0.32,0.82646727,0.26804855,1,0.073,1508297,1509388,"W",NA,NA,NA,NA
"4945",4980,"orf19.7451","FUN31","3",679.8,598,0.9,0.161,0.429526595,0.132766176,1,0.037,1511034,1515005,"W",NA,NA,NA,NA
"4946",4981,"orf19.7452","","3",87.5,62.2,1,0.449,0.290599472,0.076828121,1,0.052,1515440,1517650,"W",NA,NA,NA,NA
"4947",4982,"orf19.7453","","3",291.2,208.7,0.7,0.407,0.596976501,0.314304613,1,0.081,1517876,1518697,"W",NA,NA,NA,NA
"4948",4983,"orf19.7454","TAF60","3",459.9,529.9,1.2,0.425,0.446946939,0.228389975,1,0.043,1520340,1518781,"C",NA,NA,NA,NA
"4949",4984,"orf19.7455","","3",5.7,9.5,1,1.545,0.880891605,0.69752419,1,0.056,1521617,1520538,"C",NA,NA,NA,NA
"4950",4985,"orf19.7456","","3",6,4.6,1,9.215,0.839839417,0.820356599,1,0.054,1524694,1523630,"C",NA,NA,NA,NA
"4951",4986,"orf19.7457","","3",28.7,70.7,1,3.452,0.562664688,0.089158837,1,0.069,1526236,1525352,"C",NA,NA,NA,NA
"4952",4987,"orf19.7458","","3",223.5,334.8,1.5,1.837,0.281511203,0.066284281,1,0.104,1527005,1526640,"C",NA,NA,NA,NA
"4953",4988,"orf19.7459","","3",2573.8,2542.9,1,0.289,0.815327191,0.437147386,1,0.033,1529427,1527586,"C",NA,NA,NA,NA
"4954",4989,"orf19.6832","","3",1738.2,1455,0.8,0.135,0.721209656,0.077860019,1,0.043,1533151,1535142,"W",NA,NA,NA,NA
"4955",4990,"orf19.6831","PRP5","3",595.8,584.4,1,0.41,0.807176917,0.727478218,1.1,0.078,1535436,1538090,"W",NA,NA,NA,NA
"4956",4991,"orf19.6830","","3",922.7,662.9,0.7,0.303,0.332052395,0.058460966,1.1,0.214,1538409,1539206,"W",NA,NA,NA,NA
"4957",4992,"orf19.6829","","3",784.1,694.9,0.9,0.2,0.917777377,0.182455754,1,0.046,1539478,1541442,"W",NA,NA,NA,NA
"4958",4993,"orf19.6828.1","","3",692.1,835.9,1.2,0.144,0.267551422,0.016229423,1,0.076,1541743,1541949,"W",NA,NA,NA,NA
"4959",4994,"orf19.6828","","3",3333.9,4918.5,1.5,0.395,0.643921398,0.026594779,1,0.066,1542612,1543439,"W",NA,NA,NA,NA
"4960",4995,"orf19.6827","SLU7","3",147.6,134.3,0.9,0.69,0.941697319,0.928311535,1.1,0.07,1543880,1544932,"W",NA,NA,NA,NA
